dangerous_permissions_count,total_permissions_count,has_perm_read_sms,has_perm_send_sms,has_perm_read_contacts,has_perm_access_fine_location,has_perm_record_audio,has_perm_camera,suspicious_api_count,crypto_api_count,network_api_count,sms_api_count,total_opcodes,reflection_opcodes,activities_count,services_count,receivers_count,suspicious_strings,url_count,avg_string_length,is_debug_cert,file_size,label,file_name,file_path
6,33,0,0,0,0,0,0,20,3,39,7,42090,149,2,7,11,5,1,44.54674376934912,0,32642059,benign,sample_0000.apk,/sample/path/sample_0000.apk
9,26,0,0,0,0,0,1,14,14,43,6,67803,319,3,4,2,6,20,95.59485787421316,0,21193880,benign,sample_0001.apk,/sample/path/sample_0001.apk
11,18,1,0,0,1,0,0,28,7,46,2,81077,80,4,1,7,3,1,90.77961615333649,0,23335235,suspicious,sample_0002.apk,/sample/path/sample_0002.apk
5,33,1,0,1,1,0,1,7,13,22,8,90789,295,16,1,14,20,23,77.78313207178196,0,45556780,benign,sample_0003.apk,/sample/path/sample_0003.apk
8,33,1,0,1,1,0,0,10,18,16,7,14986,418,1,4,9,6,40,183.84233835331835,0,12910049,benign,sample_0004.apk,/sample/path/sample_0004.apk
0,27,0,0,0,0,0,0,14,13,2,0,83948,217,14,6,10,8,78,91.23279348812443,0,1769598,benign,sample_0005.apk,/sample/path/sample_0005.apk
6,36,0,0,0,0,0,1,6,18,21,1,65044,61,6,3,13,10,91,77.69658923462524,1,28948416,suspicious,sample_0006.apk,/sample/path/sample_0006.apk
8,31,0,0,1,0,0,0,4,0,41,7,35766,314,9,3,0,16,57,192.86498603900114,0,40280002,benign,sample_0007.apk,/sample/path/sample_0007.apk
0,41,0,0,0,0,0,0,0,0,18,1,88092,171,6,6,3,22,74,80.23434665166684,0,27906917,benign,sample_0008.apk,/sample/path/sample_0008.apk
7,9,0,0,0,0,1,0,5,15,28,2,50811,251,4,2,9,2,18,76.24653758542858,0,13984808,benign,sample_0009.apk,/sample/path/sample_0009.apk
0,44,0,1,0,0,0,1,29,9,34,6,47843,143,16,8,3,16,1,199.2882029540056,1,43060836,malware,sample_0010.apk,/sample/path/sample_0010.apk
10,13,0,0,1,1,0,1,19,10,48,7,6539,421,8,3,13,2,88,136.0653361305306,0,20576703,benign,sample_0011.apk,/sample/path/sample_0011.apk
13,22,0,0,1,0,0,0,15,19,7,6,87416,127,1,2,5,22,21,56.35803224202588,1,11620268,suspicious,sample_0012.apk,/sample/path/sample_0012.apk
2,12,0,0,0,0,0,0,28,15,18,3,74744,171,14,4,5,2,36,186.3805268916678,0,43058334,benign,sample_0013.apk,/sample/path/sample_0013.apk
2,37,0,0,0,0,0,0,9,2,39,7,73991,430,2,9,1,16,32,35.958052973985474,0,26533478,benign,sample_0014.apk,/sample/path/sample_0014.apk
12,46,1,0,1,1,0,0,12,19,0,7,7655,493,16,2,6,14,91,119.98433014643615,0,1649150,benign,sample_0015.apk,/sample/path/sample_0015.apk
5,29,0,1,1,1,0,0,14,10,36,0,81135,52,12,4,6,3,5,19.819527022035462,0,41308782,suspicious,sample_0016.apk,/sample/path/sample_0016.apk
2,44,0,1,0,0,0,0,27,4,25,4,6949,278,9,4,0,0,33,55.55959823990661,0,48205976,malware,sample_0017.apk,/sample/path/sample_0017.apk
7,49,0,1,1,0,0,0,11,15,36,5,85664,284,14,4,14,16,93,172.53751096209137,0,24295179,malware,sample_0018.apk,/sample/path/sample_0018.apk
9,30,0,0,0,0,0,0,4,3,33,3,41158,393,19,9,0,23,68,139.9531161856468,0,28451727,benign,sample_0019.apk,/sample/path/sample_0019.apk
6,6,0,0,1,0,0,0,0,18,42,4,98856,416,8,9,10,11,28,23.178647166281436,0,12153281,benign,sample_0020.apk,/sample/path/sample_0020.apk
12,39,0,0,0,1,0,0,6,3,49,7,34496,276,4,9,4,8,23,163.29860046078016,1,28348975,suspicious,sample_0021.apk,/sample/path/sample_0021.apk
3,22,0,0,1,0,0,0,22,2,40,0,15397,83,16,8,5,12,58,28.997128560754042,0,24263676,benign,sample_0022.apk,/sample/path/sample_0022.apk
8,23,0,0,1,1,0,0,20,4,34,8,98203,378,4,4,6,15,56,31.558274383315123,1,24614649,suspicious,sample_0023.apk,/sample/path/sample_0023.apk
6,18,0,0,1,0,0,0,9,11,16,5,2542,173,13,7,9,8,49,179.46041266758755,0,29830884,benign,sample_0024.apk,/sample/path/sample_0024.apk
5,23,0,0,1,0,1,0,3,5,30,2,73124,363,7,9,9,18,38,92.54585045277156,0,39538877,benign,sample_0025.apk,/sample/path/sample_0025.apk
9,24,0,0,0,1,0,1,27,16,24,7,83848,421,6,9,11,12,31,115.64095734209107,0,12889876,suspicious,sample_0026.apk,/sample/path/sample_0026.apk
10,41,0,0,0,0,0,0,0,2,15,6,25504,458,12,9,7,5,75,30.28365252781803,0,3667867,benign,sample_0027.apk,/sample/path/sample_0027.apk
3,30,0,0,0,0,0,0,16,8,32,4,58043,460,16,2,12,5,81,89.16142097031104,0,20857417,benign,sample_0028.apk,/sample/path/sample_0028.apk
7,34,1,0,0,0,1,1,16,10,20,9,5158,216,17,0,1,8,98,35.43190257212031,0,23966789,benign,sample_0029.apk,/sample/path/sample_0029.apk
11,21,0,0,1,0,0,1,18,16,20,8,39765,0,19,3,13,0,31,18.910328880331782,0,29173862,benign,sample_0030.apk,/sample/path/sample_0030.apk
9,38,0,0,0,1,1,0,26,16,47,6,45238,228,14,1,10,18,37,127.28010529848548,1,7953757,suspicious,sample_0031.apk,/sample/path/sample_0031.apk
14,31,0,0,0,0,1,0,9,18,16,4,40811,137,17,9,0,19,87,18.713640616880262,0,16734209,benign,sample_0032.apk,/sample/path/sample_0032.apk
12,47,0,0,0,0,0,0,15,7,3,7,42240,194,3,1,12,18,18,166.14022100044534,0,17618153,suspicious,sample_0033.apk,/sample/path/sample_0033.apk
12,26,0,0,0,0,0,0,12,8,25,8,23574,120,15,7,13,10,62,81.68433339599379,0,39337315,benign,sample_0034.apk,/sample/path/sample_0034.apk
0,12,0,0,0,0,0,0,22,13,23,1,17748,153,14,7,2,6,2,180.08929916056786,0,4708654,benign,sample_0035.apk,/sample/path/sample_0035.apk
11,49,1,0,0,0,0,0,6,16,38,5,57793,125,12,8,0,12,83,100.05428887180567,0,36209448,benign,sample_0036.apk,/sample/path/sample_0036.apk
12,22,0,0,0,1,0,0,8,4,5,3,55553,319,2,7,10,12,69,125.09721567780856,0,35499221,benign,sample_0037.apk,/sample/path/sample_0037.apk
